mood_happy,mood_sad,mood_aggressive,mood_relaxed,mood_party,added_at
0.5603,0.1958,0.7394,0.4083,0.7005,2024-08-21 12:41
0.5596,0.1981,0.7167,0.4017,0.6861,2024-08-25 22:00
0.5613,0.2171,0.7368,0.4205,0.6603,2024-08-25 22:07
0.5658,0.2102,0.723,0.41,0.6698,2024-08-28 23:44
0.5742,0.2123,0.7238,0.4239,0.6703,2024-08-29 05:16
0.5617,0.2105,0.7306,0.42,0.6777,2024-08-30 23:44
0.5635,0.207,0.726,0.4094,0.6849,2024-08-31 22:28
0.5624,0.21,0.7273,0.4149,0.6796,2024-08-31 22:41
0.5518,0.2134,0.7421,0.4199,0.6829,2024-09-01 20:59
0.5565,0.2378,0.7679,0.4439,0.6585,2024-09-07 01:28
0.5491,0.2248,0.7691,0.4338,0.6812,2024-09-07 01:28
0.5529,0.2228,0.7709,0.4364,0.6761,2024-09-08 07:14
0.5422,0.2248,0.7654,0.4391,0.663,2024-09-08 17:29
0.5526,0.2277,0.7738,0.4562,0.651,2024-09-12 04:53
0.5462,0.222,0.7699,0.4478,0.6527,2024-09-12 16:19
0.5497,0.2138,0.7538,0.4393,0.6618,2024-09-12 17:06
0.5472,0.2241,0.7784,0.4558,0.6407,2024-09-13 03:51
0.5509,0.2291,0.7812,0.4608,0.6315,2024-09-13 03:54
0.5391,0.2114,0.752,0.4381,0.6579,2024-09-13 05:27
0.559,0.2178,0.7404,0.4513,0.6399,2024-09-13 06:11
0.5591,0.2185,0.732,0.4488,0.6372,2024-09-14 19:46
0.5541,0.1937,0.7295,0.4364,0.6647,2024-09-16 01:36
0.5491,0.1913,0.7237,0.4367,0.6639,2024-09-17 15:42
0.5504,0.1912,0.7218,0.439,0.6719,2024-09-19 14:05
0.5399,0.1853,0.7219,0.4321,0.6846,2024-09-19 16:31
0.5371,0.1875,0.7226,0.4317,0.6883,2024-09-19 17:25
0.5374,0.1963,0.7281,0.4478,0.6738,2024-09-22 18:54
0.5356,0.196,0.7292,0.4493,0.6668,2024-09-22 18:56
0.5495,0.1918,0.7279,0.4505,0.672,2024-09-24 23:09
0.5632,0.1864,0.7224,0.4432,0.6741,2024-09-25 17:09
0.5674,0.1884,0.7212,0.441,0.6591,2024-09-25 17:09
0.5613,0.1845,0.7327,0.44,0.6735,2024-09-30 08:58
0.5514,0.1657,0.7179,0.4222,0.6986,2024-10-01 05:51
0.5521,0.1634,0.723,0.4206,0.7005,2024-10-04 01:49
0.5508,0.1593,0.7132,0.4099,0.7013,2024-10-05 21:32
0.5472,0.1604,0.7121,0.4124,0.7035,2024-10-06 04:15
0.5417,0.1628,0.7169,0.4176,0.6997,2024-10-10 01:17
